index,Company,TypeName,Inches,ScreenResolution,cpu_brand,cpu_name,cpu_speed,Ram,Memory,gpu_brand,gpu_name,OpSys,Weight,Price
19,Dell,Ultrabook,13.30,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i5 8250U ,1.6,8.0,128GB SSD,Intel, UHD Graphics 620,windows,1.20,52161
21,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 7300HQ ,2.5,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050,windows,2.50,53227
22,HP,Notebook,15.60,1366x768,AMD, E-Series E2-9000e ,1.5,4.0,500GB HDD,AMD, Radeon R2,N/A,1.90,13746
23,Dell,2 in 1 Convertible,13.30,Full HD / Touchscreen 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.60,43636
24,HP,Ultrabook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.90,35112
25,Dell,Notebook,15.60,1366x768,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Intel, HD Graphics 520,windows,2.30,22305
26,Apple,Ultrabook,13.30,1440x900,Intel, Core i5 ,1.6,8.0,128GB Flash Storage,Intel, HD Graphics 6000,mac,1.40,58555
27,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,AMD, Radeon 530,windows,2.20,42624
28,Dell,Ultrabook,15.60,Full HD 1920x1080,Intel, Core i7 8650U ,1.9,8.0,256GB SSD +  256GB SSD,Intel, UHD Graphics 620,windows,1.90,69157
29,HP,Notebook,17.30,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,1TB HDD,Nvidia, GeForce 930MX,windows,2.50,47739
30,Chuwi,Notebook,15.60,Full HD 1920x1080,Intel, Atom x5-Z8300 ,1.4,4.0,64GB Flash Storage,Intel, HD Graphics,windows,1.90,13053
31,Asus,Notebook,14.00,1366x768,AMD, E-Series E2-6110 ,1.5,2.0,32GB Flash Storage,AMD, Radeon R2,windows,1.70,10603
32,HP,Notebook,17.30,Full HD 1920x1080,AMD, A6-Series 9220 ,2.5,4.0,500GB HDD,AMD, Radeon 530,windows,2.70,23390
33,Dell,Ultrabook,13.30,Touchscreen / Quad HD+ 3200x1800,Intel, Core i7 8550U ,1.8,16.0,512GB SSD,Intel, UHD Graphics 620,windows,1.20,99580
34,Apple,Ultrabook,13.30,1440x900,Intel, Core i5 ,1.6,8.0,256GB Flash Storage,Intel, HD Graphics 6000,mac,1.40,53173
35,Lenovo,Notebook,14.00,1366x768,Intel, Celeron Dual Core N3350 ,1.1,4.0,64GB Flash Storage,Intel, HD Graphics 500,windows,1.40,13267
36,Acer,Notebook,15.60,1366x768,Intel, Core i3 7130U ,2.7,4.0,1TB HDD,Intel, HD Graphics 620,linux,2.10,19554
37,Dell,Notebook,17.30,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,128GB SSD +  1TB HDD,AMD, Radeon 530,windows,2.80,52161
38,HP,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,4.0,1TB HDD,Intel, HD Graphics 620,windows,1.90,26037
39,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Nvidia, GeForce 930MX ,windows,2.10,46833
40,Asus,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Intel, HD Graphics 620,linux,2.00,20726
41,Dell,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1060,windows,2.70,79867
42,Asus,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,8.0,1TB HDD,Nvidia, GeForce 940MX,linux,2.30,27865
43,Acer,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,4.0,256GB SSD,Intel, UHD Graphics 620,windows,2.20,36337
44,Dell,2 in 1 Convertible,17.30,Full HD / Touchscreen 1920x1080,Intel, Core i5 8250U ,1.6,12.0,1TB HDD,Nvidia, GeForce 150MX,windows,2.80,53227
45,Apple,Ultrabook,13.30,IPS Panel Retina Display 2560x1600,Intel, Core i5 ,2.0,8.0,256GB SSD,Intel, Iris Graphics 540,mac,1.40,75604
47,Asus,Gaming,17.30,Full HD 1920x1080,AMD, Ryzen 1700 ,3.0,8.0,256GB SSD +  1TB HDD,AMD, Radeon RX 580,windows,3.20,69211
48,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,4.0,256GB SSD,AMD, Radeon R5 M430,windows,2.30,34046
49,Asus,Notebook,17.30,1366x768,Intel, Pentium Quad Core N4200 ,1.1,4.0,1TB HDD,Nvidia, GeForce 920MX,windows,2.80,24828
51,Acer,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Nvidia, GeForce MX150,windows,2.20,44808
52,HP,Notebook,15.60,Full HD 1920x1080,AMD, A6-Series 9220 ,2.5,4.0,256GB SSD,AMD, Radeon R4 Graphics,windows,1.90,21232
53,HP,Notebook,13.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,512GB SSD,Intel, UHD Graphics 620,windows,1.50,58768
54,Acer,Notebook,15.60,1366x768,Intel, Core i3 7100U ,2.4,4.0,1TB HDD,Intel, HD Graphics 620,windows,2.40,20460
55,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,AMD, Radeon 520,windows,2.10,40908
56,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,128GB SSD,Intel, HD Graphics 520,windows,1.90,23390
57,Asus,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,4.0,256GB SSD,Intel, HD Graphics 620,windows,2.00,31232
58,MSI,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  2TB HDD,Nvidia, GeForce GTX 1070,windows,2.40,130483
59,Asus,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,256GB SSD,Intel, HD Graphics 520,linux,2.00,22111
60,Dell,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,16.0,256GB SSD +  2TB HDD,AMD, Radeon 530,windows,2.80,69211
61,Dell,Ultrabook,14.00,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.70,46833
62,Lenovo,Notebook,14.00,IPS Panel Full HD 1920x1080,Intel, Core i3 7130U ,2.7,8.0,256GB SSD,Intel, HD Graphics 620,N/A,1.70,31915
63,Asus,Notebook,14.00,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.40,50136
64,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.90,36763
65,Asus,Ultrabook,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,512GB SSD,Nvidia, GeForce GTX 1050 Ti,windows,1.80,105654
66,HP,Notebook,15.60,1366x768,Intel, Core i3 6006U ,2.0,4.0,500GB HDD,AMD, Radeon 520,windows,1.90,23373
67,HP,Notebook,14.00,1366x768,Intel, Celeron Dual Core N3060 ,1.6,4.0,32GB SSD,Intel, HD Graphics 400,windows,1.40,12201
68,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,4.0,1TB HDD,Intel, HD Graphics 620,windows,1.90,29251
69,Asus,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,12.0,1TB HDD,Nvidia, GeForce GTX 1050 Ti,linux,3.00,50563
70,Microsoft,Ultrabook,13.50,Touchscreen 2256x1504,Intel, Core i5 7200U ,2.5,4.0,128GB SSD,Intel, HD Graphics 620,windows,1.30,58022
71,Dell,Ultrabook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,64.0,256GB SSD,AMD, Radeon 530,windows,1.40,50882
72,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,AMD, Radeon 530,windows,2.20,46354
73,MSI,Gaming,17.30,Full HD 1920x1080,Intel, Core i5 7300HQ ,2.5,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050,windows,2.70,58342
74,Acer,Notebook,14.00,1366x768,Intel, Core i3 6006U ,2.0,8.0,1TB HDD,Intel, HD Graphics 520,windows,2.10,20726
75,Asus,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,1TB HDD,Nvidia, GeForce GTX 1050,windows,2.20,50563
76,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,2TB HDD,Intel, HD Graphics 620,N/A,2.20,27652
77,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,128GB SSD +  1TB HDD,Intel, UHD Graphics 620,windows,2.00,45554
78,Acer,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 7130U ,2.7,4.0,1TB HDD,Nvidia, GeForce MX130,windows,2.20,28238
79,HP,Notebook,17.30,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce 930MX,windows,2.50,52055
80,Dell,Ultrabook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.90,58403
81,Apple,Ultrabook,12.00,IPS Panel Retina Display 2304x1440,Intel, Core i5 ,1.3,8.0,512GB SSD,Intel, HD Graphics 615,mac,0.90,80453
82,HP,Notebook,14.00,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.60,45821
83,Lenovo,Notebook,15.60,Full HD 1920x1080,AMD, A6-Series 9220 ,2.5,4.0,128GB SSD,AMD, R4 Graphics,windows,2.20,21259
84,Acer,Notebook,15.60,1366x768,AMD, A9-Series 9420 ,3.0,4.0,1TB HDD,AMD, Radeon R5,windows,2.10,21046
85,Dell,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050 Ti,windows,2.70,71875
86,HP,Ultrabook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Nvidia, GeForce GTX 940MX,windows,1.80,37243
87,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,2.00,31914
88,Asus,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 1060,windows,2.20,77203
89,Dell,Ultrabook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.20,87859
90,Asus,Gaming,15.60,Full HD 1920x1080,AMD, FX 9830P ,3.0,8.0,1TB HDD,AMD, Radeon RX 560,windows,2.50,37243
91,Acer,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,2.0,1TB HDD,Nvidia, GeForce MX150,windows,2.20,36710
92,HP,Notebook,13.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,16.0,512GB SSD,Intel, UHD Graphics 620,windows,1.50,63776
93,Dell,Gaming,15.60,Full HD 1920x1080,Intel, Core i5 7300HQ ,2.5,8.0,256GB SSD,Nvidia, GeForce GTX 1060,windows,2.70,63670
94,Asus,Ultrabook,14.00,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.30,55891
95,Acer,2 in 1 Convertible,13.30,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.50,45128
96,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,1TB HDD,AMD, Radeon R5 M430,linux,2.20,31963
97,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,256GB SSD,AMD, Radeon R5 M430,linux,2.20,25841
98,Asus,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 7100U ,2.4,6.0,256GB SSD,Nvidia, GeForce 920M,windows,2.00,30743
99,HP,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,12.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050,windows,2.60,66547
100,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,AMD, Radeon 530,windows,1.90,38308
101,HP,Notebook,15.60,Full HD 1920x1080,AMD, E-Series E2-9000e ,1.5,4.0,500GB HDD,AMD, Radeon R2,windows,2.10,18595
102,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,1TB HDD,AMD, Radeon 520,linux,2.20,34472
103,HP,Ultrabook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Nvidia, GeForce MX150,windows,1.40,59620
104,Microsoft,Ultrabook,13.50,Touchscreen 2256x1504,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.30,71395
105,HP,Notebook,14.00,IPS Panel Full HD 1920x1080,Intel, Core i5 7200U ,2.5,6.0,256GB SSD,Nvidia, GeForce 940MX,windows,1.60,35112
106,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Intel, HD Graphics 520,windows,1.90,22106
107,Asus,Ultrabook,14.00,IPS Panel Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Nvidia, GeForce 940MX,windows,1.30,63563
108,MSI,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050 Ti,windows,2.20,69211
109,Lenovo,Notebook,14.00,IPS Panel Full HD 1920x1080,Intel, Core i7 7500U ,2.7,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.60,78854
110,Asus,Ultrabook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce MX150,windows,1.50,67239
111,Dell,Ultrabook,13.30,Quad HD+ / Touchscreen 3200x1800,Intel, Core i7 7560U ,2.4,8.0,256GB SSD,Intel, Iris Plus Graphics 640,windows,1.20,73473
112,Lenovo,2 in 1 Convertible,13.30,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.40,74539
113,HP,Notebook,14.00,IPS Panel 1366x768,Intel, Core i5 8250U ,1.6,4.0,500GB HDD,Intel, UHD Graphics 620,windows,1.60,38468
114,Dell,Ultrabook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.20,86793
116,HP,Notebook,14.00,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,512GB SSD,Intel, UHD Graphics 620,windows,1.60,57756
117,Dell,Notebook,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD +  1TB HDD,Nvidia, GeForce 940MX,windows,2.20,60224
118,Asus,Notebook,17.30,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Nvidia, GeForce 920MX,windows,2.00,30050
119,Asus,Notebook,15.60,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Nvidia, GeForce 940MX,windows,1.70,59567
120,Acer,Notebook,15.60,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i3 7100U ,2.4,6.0,1TB HDD,Intel, HD Graphics 620,windows,2.10,25521
121,MSI,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  2TB HDD,Nvidia, GeForce GTX 1070,windows,1.80,119427
122,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Nvidia, GeForce 940MX,N/A,2.20,33513
123,HP,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,16.0,512GB SSD,Nvidia, GeForce 930MX ,windows,2.50,67719
124,Acer,Notebook,15.60,1366x768,AMD, A9-Series 9420 ,3.0,4.0,256GB SSD,AMD, Radeon R5,windows,2.10,24029
126,HP,Notebook,14.00,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,1TB HDD,Intel, UHD Graphics 620,windows,1.60,43263
127,Asus,Notebook,14.00,1366x768,AMD, E-Series 6110 ,1.5,4.0,64GB SSD,AMD, Radeon R2,windows,1.70,14811
128,Dell,Notebook,17.30,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,16.0,256GB SSD +  2TB HDD,AMD, Radeon 530,windows,2.80,74379
129,HP,Notebook,17.30,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, UHD Graphics 620,windows,2.50,49444
130,Dell,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,8.0,1TB HDD,AMD, Radeon R7 M445,windows,2.40,34045
131,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,AMD, Radeon R5 M430,windows,2.20,23923
132,Acer,Ultrabook,14.00,IPS Panel Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.60,47100
133,Acer,Notebook,15.60,Full HD 1920x1080,Intel, Core i3 7130U ,2.7,4.0,256GB SSD,Nvidia, GeForce MX130,windows,7.20,30476
134,HP,Notebook,15.60,1366x768,Intel, Core i7 7500U ,2.7,8.0,1TB HDD,Intel, HD Graphics 620,windows,2.10,31861
135,HP,Notebook,14.00,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.60,52641
136,Lenovo,Notebook,15.60,1366x768,Intel, Celeron Dual Core N3350 ,1.1,4.0,1TB HDD,Intel, HD Graphics 500,N/A,1.90,13446
137,Asus,Gaming,17.30,Full HD 1920x1080,Intel, Core i5 7300HQ ,2.5,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050,windows,3.00,49977
138,Lenovo,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 7200U ,2.5,4.0,1TB HDD,Nvidia, GeForce 920MX,N/A,2.20,26587
139,HP,Notebook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i5 7200U ,2.5,4.0,256GB SSD,Intel, HD Graphics 620,windows,1.30,37243
140,Acer,Notebook,17.30,IPS Panel Full HD 1920x1080,Intel, Core i3 7130U ,2.7,4.0,1TB HDD,Nvidia, GeForce MX130,windows,3.00,34898
141,Lenovo,Notebook,14.00,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,AMD, Radeon RX 550,windows,1.80,59462
142,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,256GB SSD,Nvidia, GeForce GTX 1050M,N/A,2.40,46300
143,Toshiba,Notebook,15.60,1366x768,Intel, Core i5 6200U ,2.3,4.0,500GB HDD,Intel, HD Graphics 520,windows,2.10,32075
144,HP,Notebook,15.60,1366x768,AMD, A6-Series 9220 ,2.5,4.0,256GB SSD,AMD, Radeon R4 Graphics,windows,1.90,19660
145,Asus,Ultrabook,14.00,Full HD 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.30,58555
146,HP,Ultrabook,12.50,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel, Core M 6Y75 ,1.2,8.0,512GB SSD,Intel, HD Graphics 515,windows,1.00,107306
147,Asus,Notebook,15.60,Full HD 1920x1080,Intel, Celeron Dual Core N3350 ,1.1,4.0,1TB HDD,Intel, HD Graphics 500,windows,2.00,18328
149,Acer,Notebook,15.60,1366x768,Intel, Core i3 6006U ,2.0,4.0,1TB HDD,Intel, HD Graphics 520,windows,2.10,23816
150,Dell,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,512GB SSD,Nvidia, GeForce GTX 1050,windows,2.60,66561
151,Dell,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,1.0TB Hybrid,Nvidia, GeForce GTX 1050,windows,2.60,47899
152,Lenovo,Notebook,15.60,1366x768,Intel, Core i5 7200U ,2.5,4.0,128GB SSD,Intel, HD Graphics 620,windows,1.90,26533
153,MSI,Gaming,17.30,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1060,windows,2.80,100699
154,HP,Ultrabook,14.00,Full HD 1920x1080,Intel, Core i5 7500U ,2.7,4.0,256GB SSD,Intel, HD Graphics 620,windows,1.50,57649
155,HP,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,6.0,256GB SSD,AMD, Radeon 520,windows,1.90,32980
156,Lenovo,2 in 1 Convertible,14.00,IPS Panel Full HD / Touchscreen 1920x1080,Intel, Core i3 7100U ,2.4,4.0,256GB SSD,Intel, HD Graphics 620,windows,1.70,33513
157,Asus,2 in 1 Convertible,13.30,Full HD / Touchscreen 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.10,70063
158,Dell,2 in 1 Convertible,15.60,Full HD / Touchscreen 1920x1080,Intel, Core i7 8550U ,1.8,8.0,256GB SSD,Intel, UHD Graphics 620,windows,1.60,55891
159,Toshiba,Notebook,15.60,1366x768,Intel, Core i3 6006U ,2.2,4.0,500GB HDD,Intel, HD Graphics 520,windows,2.10,23816
160,Asus,Notebook,15.60,1366x768,AMD, A9-Series 9420 ,3.0,4.0,1TB HDD,AMD, Radeon R5 M420,windows,2.00,21472
161,Acer,Notebook,17.30,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,4.0,256GB SSD,Nvidia, GeForce MX150,windows,3.00,42890
162,Dell,Notebook,15.60,Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,AMD, Radeon 520,windows,2.10,38788
163,Lenovo,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD,Nvidia, GeForce GTX 1050 Ti,windows,2.50,57489
164,Acer,Notebook,15.60,1366x768,Intel, Celeron Dual Core N3350 ,1.1,4.0,1TB HDD,Intel, HD Graphics 500,windows,2.10,18541
165,MSI,Gaming,15.60,IPS Panel Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,16.0,256GB SSD +  1TB HDD,Nvidia, GeForce GTX 1060,windows,2.40,95851
166,Acer,Notebook,15.60,1366x768,Intel, Pentium Quad Core N4200 ,1.1,4.0,1TB HDD,Intel, HD Graphics 505,windows,2.10,19368
167,Dell,Gaming,15.60,Full HD 1920x1080,Intel, Core i7 7700HQ ,2.8,8.0,128GB SSD +  1TB HDD,Nvidia, GeForce GTX 1050,windows,2.60,56503
168,Acer,Notebook,17.30,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,8.0,256GB SSD,Nvidia, GeForce MX150,windows,3.00,45501
169,HP,Notebook,13.30,IPS Panel Full HD 1920x1080,Intel, Core i5 8250U ,1.6,4.0,500GB HDD,Intel, UHD Graphics 620,windows,1.50,40173
170,Huawei,Ultrabook,13.00,IPS Panel Full HD 2160x1440,Intel, Core i5 7200U ,2.5,8.0,256GB SSD,Intel, HD Graphics 620,windows,1.10,71875
171,HP,Notebook,17.30,IPS Panel Full HD 1920x1080,Intel, Core i5 7200U ,2.5,6.0,2TB HDD,AMD, Radeon 520,windows,2.70,37243
172,Lenovo,Notebook,15.60,1366x768,AMD, A6-Series 9220 ,2.9,4.0,500GB HDD,AMD, Radeon R4 Graphics,N/A,2.20,16464
